system,fault_mode,n_normal,n_anomaly,auc,pauc,normal_score_mean,normal_score_q05,normal_score_q50,normal_score_q95,anomaly_score_mean,anomaly_score_q05,anomaly_score_q50,anomaly_score_q95
near_only,belt_tension_abnormal,300,100,0.9892,0.9431578947368421,1.454638553659121,1.1117012798786163,1.3970401287078857,2.0360091686248785,2.7450894343853,2.0681424379348754,2.7158522605895996,3.4156815648078918
near_only,extruder_cogging_or_no_extrusion,300,100,0.9728,0.9143859649122807,1.454638553659121,1.1117012798786163,1.3970401287078857,2.0360091686248785,2.836778639554977,1.6639924228191376,2.742761731147766,4.013198113441467
near_only,toolhead_collision,300,100,1.0,1.0,1.454638553659121,1.1117012798786163,1.3970401287078857,2.0360091686248785,4.9343357133865355,3.9659109592437742,4.747025966644287,6.527594137191772
residual_view,belt_tension_abnormal,300,100,0.9895999999999999,0.9452631578947368,1.366097856760025,1.0644010782241822,1.3099076747894287,1.9153841376304628,2.48385356426239,1.8828456580638886,2.4550940990448,3.0600787043571467
residual_view,extruder_cogging_or_no_extrusion,300,100,0.9789000000000001,0.9314035087719299,1.366097856760025,1.0644010782241822,1.3099076747894287,1.9153841376304628,2.5811907601356507,1.614409464597702,2.537381649017334,3.5587079405784605
residual_view,toolhead_collision,300,100,1.0,1.0,1.366097856760025,1.0644010782241822,1.3099076747894287,1.9153841376304628,4.36433436870575,3.4219889760017397,4.233372449874878,5.779132652282715
